id,created_at,updated_at,created_by,modified_by,name,img_url,county,party,field_status
1,2020-03-20 14:28:23,2020-03-20 14:28:25,1,1,Sen (Dr.) Ltumbesi Lelegwe,http://www.parliament.go.ke/sites/default/files/2017-10/41b4b772185780c545f480dd3c440a9c_M.jpg,Samburu,JP,Elected
2,2020-03-21 14:28:23,2020-03-21 14:28:25,1,1,Sen. (Dr.) Ali Abdullahi Ibrahim,http://www.parliament.go.ke/sites/default/files/2017-10/28835731112bf174e8f5ff882b876d47_M.jpg,Wajir,JP,Elected
3,2020-03-22 14:28:23,2020-03-22 14:28:25,1,1,Sen. (Dr.) Inimah Getrude Musuruve,http://www.parliament.go.ke/sites/default/files/2017-10/17bf9e47d70ff47da72e014250337d9b_M.jpg,Kakamega Delegation,ODM,Nominated
4,2020-03-23 14:28:23,2020-03-23 14:28:25,1,1,Sen. (Dr.) Langat Christopher Andrew,http://www.parliament.go.ke/sites/default/files/2017-10/b15e8a343e5728d8313eac39cd22374b_M.jpg,Bomet,JP,Elected
5,2020-03-24 14:28:23,2020-03-24 14:28:25,1,1,Sen. (Dr.) Milgo Alice Chepkorir,http://www.parliament.go.ke/sites/default/files/2017-10/34c96fc26927fda6b9e4654ad88c4272_M.jpg,Bomet Delegation,JP,Nominated
6,2020-03-25 14:28:23,2020-03-25 14:28:25,1,1,Sen. (Dr.) Zani Agnes Philomena,http://www.parliament.go.ke/sites/default/files/2017-10/f8bcd4658f70bd8a859b57787d226a7b_M.jpg,Kwale Delegation,ODM,Nominated
7,2020-03-26 14:28:23,2020-03-26 14:28:25,1,1,Sen. (Eng.) Ephraim Mwangi,http://www.parliament.go.ke/sites/default/files/2017-10/5a08b7b455c29c304dabcd194521e2e1_M.jpg,Nyeri,JP,Elected
8,2020-03-27 14:28:23,2020-03-27 14:28:25,1,1,Sen. (Prof.) Imana Malachy Ekal,http://www.parliament.go.ke/sites/default/files/2017-10/7ffa0a6eb51c9388ce14c9e4c32eb6e0_M.jpg,Turkana,ODM,Elected
9,2020-03-28 14:28:23,2020-03-28 14:28:25,1,1,Sen. (Prof.) Ongeri Samson Kegengo,http://www.parliament.go.ke/sites/default/files/2017-10/b43bdffc2f2f09ef0aab635ab13a3417_M.jpg,Kisii,ODM,Elected
10,2020-03-29 14:28:23,2020-03-29 14:28:25,1,1,Sen. Adan Dullo Fatuma,http://www.parliament.go.ke/sites/default/files/2017-10/c76b430f13f697c7e8f6389e61fe2e85_M.jpg,Isiolo,PDR,Elected
11,2020-03-30 14:28:23,2020-03-30 14:28:25,1,1,Sen. Nderitu John Kinyua,http://www.parliament.go.ke/sites/default/files/2017-10/6f98e5ea5d6baacc1876227d18ec1d1c_M.jpg,Laikipia,JP,Elected
